t,EEG,S1,S2,S3,ES1,ES2,ES3,,f,TS1,TS2,TS3,PSD
82,-0.179662161347496,0.013091200121973,0.037883525198771,0.063740536139463,-0.002351993308546,-0.006806236016674,-0.011451762488264,,82,0.032174527971316,0.024413973738808,0.060565082311244,0.039051194673789
83,-0.295024053822689,0.013416978622002,0.038509204960477,0.064113005622673,-0.003958331423115,-0.011361141756929,-0.018914878821558,,83,0.030561937448956,0.043836968286567,0.051124937336286,0.041841281023937
84,-0.380050398485634,0.013747440252436,0.039135172814369,0.064467853116097,-0.005224720146096,-0.014873338022905,-0.024501033266286,,84,0.055319704426047,0.068002255344684,0.071700753812315,0.065007571194349
85,-0.443976898684575,0.014082577536547,0.039761194773137,0.064804752291881,-0.006252339100161,-0.017653051943371,-0.028771812942572,,85,0.051663934396283,0.025684917401719,0.093925926250275,0.057091592682759
86,-0.653624953278916,0.01442238125535,0.04038703404645,0.065123384147111,-0.009426828274199,-0.026397973241685,-0.04256626892052,,86,0.065556763323168,0.046440256722098,0.011193939167065,0.041063653070777
87,-0.511412001591531,0.014766840431553,0.041012451136047,0.06542343725047,-0.007551939422283,-0.020974259725661,-0.033458330995261,,87,0.045476283491203,0.040810565083536,0.017292577920027,0.034526475498255
88,-0.250605866962466,0.015115942314202,0.041637203933148,0.065704607985487,-0.003788143828605,-0.01043452758956,-0.016465960247632,,88,0.043468073421824,0.087646497210194,0.070744416377008,0.067286329003009
89,-0.020958776932444,0.015469672364038,0.042261047818143,0.065966600790184,-0.000324225412296,-0.000885739874152,-0.001382579270953,,89,0.095948675562308,0.08824051946913,0.019689397168123,0.067959530733187
90,0.302692340153607,0.01582801423959,0.042883735762495,0.066209128392947,0.004791018670166,0.012980578332479,0.020040996012792,,90,0.105751402011712,0.098625323771259,0.04265172516565,0.082342816982874
91,0.573011490372442,0.016190949784004,0.043505018432836,0.066431912044447,0.009277600266278,0.02492887545088,0.03806624892888,,91,0.06845225823897,0.054988237876973,0.024489149027352,0.049309881714431
92,0.679571733442651,0.016558459012629,0.044124644297185,0.06663468174542,0.011252660694351,0.029985861012578,0.045283046181134,,92,0.021067566995135,0.058399663512257,0.075418169623498,0.051628466710297
93,0.791364737939932,0.016930520101367,0.044742359733249,0.066817176470136,0.013398216603205,0.035407525785117,0.052876757347175,,93,0.039844735258725,0.050569306716701,0.028956246775166,0.039790096250197
94,0.607771976995141,0.017307109375811,0.045357909138759,0.066979144385385,0.010518776081408,0.027567266109629,0.040708047000549,,94,0.06844992626437,0.08113775445598,0.045479228573425,0.065022303097925
95,0.44345844536346,0.017688201301167,0.04597103504377,0.06712034306481,0.007843982250291,0.02038624373226,0.029765082987783,,95,0.027675842788499,0.049203632766795,0.096161728587355,0.057680401380883
96,0.298436200098868,0.018073768472977,0.046581478224896,0.067240539698408,0.005393866784542,0.013901599356426,0.02006701116019,,96,0.026075281352515,0.033376482076386,0.029880120011521,0.029777294480141
97,0.390383293746006,0.018463781608669,0.047188977821397,0.067339511297047,0.007207951879399,0.018421788590424,0.026288220219388,,97,0.036235848007108,0.075272851264313,0.079140845314829,0.063549848195417
98,0.142020038823714,0.018858209539916,0.047793271453075,0.067417044891828,0.002678243651005,0.006787602267278,0.009574571332917,,98,0.069387747237864,0.09163617777149,0.075944024641811,0.078989316550388
99,0.034489202908162,0.019257019205842,0.048394095339926,0.067472937728129,0.000664159242797,0.001669073773736,0.002327087840115,,99,0.05772831792332,0.046295700818565,0.04308097405945,0.049034997600445
100,0.117025765924354,0.019660175647067,0.048991184423462,0.067506997454182,0.002300747113305,0.005733230880697,0.007900058082329,,100,0.04338997897564,0.069700309021029,0.068752983925707,0.060614423974125
101,-0.004546715055643,0.02006764200061,0.049584272489667,0.067519042304025,-9.12418500154333E-05,-0.000225445558252,-0.000306989846186,,101,0.009053398762716,0.016492427793892,0.024135306489416,0.016560377682008
102,-0.091282749972872,0.020479379495655,0.050173092293511,0.067508901274672,-0.001869414078101,-0.004579937839194,-0.006162398155999,,102,0.017757030595112,0.038533579101041,0.05528901718011,0.037193208958754
103,0.000200581150002,0.020895347450188,0.050757375684953,0.067476414297367,4.19121282124604E-06,1.01809727859616E-05,1.35344967777644E-05,,103,0.054946698687353,0.061816528183387,0.029810465183745,0.048857897351495
104,-0.059868095829465,0.021315503268515,0.051336853736379,0.067421432402768,-0.001276118592333,-0.003073439679073,-0.004036392776049,,104,0.068388941172105,0.060861662271565,0.044248959231739,0.05783318755847
105,-0.125562160141791,0.02173980243967,0.051911256871397,0.067343817879923,-0.002729696555381,-0.006518089548448,-0.008455835245198,,105,0.043074704096888,0.059002857952681,0.090501057111444,0.064192873053671
106,-0.330254765550585,0.022168198536719,0.052480314994917,0.067243444428903,-0.007321153210423,-0.017331874124667,-0.022207467974681,,106,0.015945121881434,0.0010390899568,0.016394661193456,0.011126291010564
107,-0.387574000168799,0.022600643216961,0.053043757624468,0.067120197306967,-0.008759421697985,-0.020558381326499,-0.02601404336238,,107,0.036118693039314,0.024059242890378,0.008991590519838,0.02305650881651
108,-0.240489998673724,0.023037086223045,0.053601314022646,0.066973973468109,-0.005540188835226,-0.012890579938216,-0.01610657079052,,108,0.062793154385828,0.043201455584647,0.021086090404003,0.042360233458159
109,-0.314508253053449,0.023477475384996,0.054152713330654,0.066804681695891,-0.007383859769441,-0.017031475267728,-0.021010623735966,,109,0.06526244743978,0.018288195896368,0.064471382438732,0.049340675258293
110,-0.45913261553672,0.023921756623167,0.054697684702842,0.066612242729418,-0.010983258686627,-0.025113491041419,-0.030583853231125,,110,0.078443224675516,0.03111240050035,0.047540690560068,0.052365438578645
111,-0.339936579896068,0.024369873952105,0.055235957442172,0.066396589382362,-0.008284211603777,-0.018776722460177,-0.022570629511404,,111,0.096104011276938,0.059077190310949,0.040252500280663,0.065144567289517
112,-0.148711703782298,0.024821769485362,0.055767261136548,0.066157666654894,-0.00369128763106,-0.008293244418888,-0.009838419326511,,112,0.084859323893976,0.047209118614425,0.053667246438763,0.061911896315721
113,-0.030356044804013,0.025277383441222,0.05629132579591,0.065895431838455,-0.00076732138427,-0.001708782007938,-0.002000324681268,,113,0.037047146195926,0.062428883016991,0.074082656771364,0.057852895328094
114,0.146143551284679,0.025736654149376,0.056807881990047,0.065609854613224,0.003761246035575,0.008302105614986,0.009588457152448,,114,0.042750940258458,0.039145242901979,0.016257156077481,0.032717779745973
115,0.466403019086316,0.026199518058537,0.057316660987014,0.065300917138224,0.012219534321108,0.02673266372829,0.030456544902373,,115,0.065901612802333,0.040811852369558,0.024782398502463,0.043831954558118
116,0.610219558952965,0.026665909744983,0.057817394892113,0.06496861413394,0.016272059683663,0.035281305210875,0.039645119062598,,116,0.054314978727376,0.020009137298048,0.054040128930371,0.042788081651932
